train_no,train_type,current_station,next_station,distance_remaining_km,current_speed_kmph,current_delay_min,historical_avg_delay_min,congestion_score,weather,hour,day_of_week,actual_remaining_time_min
12860,Express,Mumbai,Pune,201.9,61.5,-4.1,16.2,0.306,Clear,23,5,197.5
12301,Rajdhani,Prayagraj,DDU,191.6,66.1,9.2,3.1,0.479,Clear,4,5,175.7
12723,Express,Gudur,Chennai,191.6,63.6,29.8,17.7,0.072,Clear,10,6,211.3
12723,Express,Vijayawada,Gudur,206.6,73.2,13.4,8.4,0.137,Clear,6,6,204.2
12259,Duronto,DDU,New Delhi,220.6,70.7,-1.8,10.1,0.323,Rain,8,1,227.2
12259,Duronto,DDU,New Delhi,210.3,64.9,30.0,16.4,0.355,Clear,9,6,234.7
12627,Express,Chennai,Gudur,171.3,71.3,19.1,8.7,0.332,Clear,23,6,150.3
12951,Rajdhani,Ratlam,Kota,195.2,59.8,4.4,9.8,0.346,Fog,8,1,196.9
12951,Rajdhani,Vadodara,Ratlam,185.4,74.0,2.6,9.1,0.197,Clear,5,4,187.4
12259,Duronto,Sealdah,Asansol,171.0,68.3,-2.6,16.1,0.287,Clear,23,2,161.1
12627,Express,Vijayawada,Warangal,142.3,51.7,15.5,15.3,0.255,Clear,6,4,198.9
12627,Express,Warangal,Secunderabad,244.1,77.0,25.4,8.7,0.169,Clear,9,5,188.8
12723,Express,Warangal,Vijayawada,179.2,61.1,2.5,10.4,0.3,Clear,3,0,209.8
12860,Express,Kalaburagi,Wadi,58.2,50.9,-0.3,13.2,0.605,Clear,9,5,100.1
12259,Duronto,Dhanbad,Gaya,183.9,67.8,-5.0,0.0,0.184,Heavy Rain,4,3,146.0
12951,Rajdhani,Kota,New Delhi,222.5,58.8,7.3,12.4,0.138,Clear,10,2,214.0
12627,Express,Nellore,Vijayawada,205.2,65.9,25.4,16.2,0.279,Clear,3,5,208.0
12301,Rajdhani,Kanpur,Prayagraj,168.3,72.2,4.5,11.2,0.311,Clear,3,3,175.8
12627,Express,Gudur,Nellore,58.6,57.0,27.6,13.5,0.276,Heavy Rain,2,0,105.2
12301,Rajdhani,New Delhi,Kanpur,118.9,53.9,16.8,12.7,0.063,Rain,23,1,179.1
12723,Express,Vijayawada,Gudur,211.1,56.5,29.2,17.5,0.397,Clear,5,6,230.2
12259,Duronto,Dhanbad,Gaya,131.3,62.7,18.7,9.3,0.288,Clear,3,0,155.6
12951,Rajdhani,Vadodara,Ratlam,184.2,76.1,33.2,21.2,0.231,Rain,4,4,195.0
12860,Express,Pune,Solapur,200.8,62.8,-2.2,0.0,0.507,Fog,2,1,205.3
12301,Rajdhani,DDU,Gaya,160.1,67.2,16.8,2.1,0.083,Rain,8,2,141.3
12860,Express,Wadi,Secunderabad,175.9,63.8,12.9,26.8,0.143,Clear,9,3,173.6
12951,Rajdhani,Surat,Vadodara,102.3,53.1,-5.0,22.9,0.365,Clear,4,2,148.1
12723,Express,Gudur,Chennai,246.9,71.4,16.5,10.0,0.103,Rain,8,3,206.9
12951,Rajdhani,Vadodara,Ratlam,154.4,53.7,4.4,0.0,0.204,Heavy Rain,4,5,195.8
12860,Express,Kalaburagi,Wadi,85.8,68.0,-0.5,11.1,0.17,Clear,9,5,81.5
12301,Rajdhani,Gaya,Howrah,213.5,74.0,-1.2,16.8,0.267,Clear,10,2,178.8
12301,Rajdhani,Prayagraj,DDU,181.1,72.5,20.8,14.4,0.26,Clear,5,5,162.9
12301,Rajdhani,Kanpur,Prayagraj,191.9,65.6,11.6,3.9,0.141,Clear,1,6,176.3
12259,Duronto,Dhanbad,Gaya,143.9,69.9,23.9,0.5,0.18,Heavy Rain,4,4,165.9
12723,Express,Vijayawada,Gudur,151.2,51.7,4.5,26.1,0.249,Rain,5,4,220.3
12860,Express,Solapur,Kalaburagi,146.0,67.9,19.3,7.8,0.273,Heavy Rain,6,4,179.1
12860,Express,Wadi,Secunderabad,169.2,67.4,27.2,17.5,0.409,Clear,9,5,177.9
12951,Rajdhani,Kota,New Delhi,236.1,67.6,22.4,21.8,0.541,Rain,10,2,228.9
12723,Express,Gudur,Chennai,231.2,63.8,4.4,5.4,0.226,Clear,9,1,206.6
12259,Duronto,Asansol,Dhanbad,102.1,75.4,5.2,3.4,0.133,Rain,2,2,92.7
12951,Rajdhani,Ratlam,Kota,214.0,78.3,-5.0,10.3,0.286,Clear,7,4,181.9
12951,Rajdhani,Vadodara,Ratlam,142.2,52.8,14.6,9.1,0.043,Clear,4,5,184.1
12723,Express,Warangal,Vijayawada,230.7,71.5,5.2,13.9,0.202,Clear,2,4,208.3
12860,Express,Solapur,Kalaburagi,138.7,55.6,29.8,0.0,0.251,Rain,6,3,180.2
12627,Express,Gudur,Nellore,52.2,56.1,13.9,1.5,0.243,Clear,2,3,88.9
12723,Express,Kazipet,Warangal,40.0,68.3,14.2,23.3,0.066,Clear,2,1,43.0
12259,Duronto,Asansol,Dhanbad,111.4,70.3,12.0,23.8,0.029,Clear,2,1,108.6
12301,Rajdhani,DDU,Gaya,167.2,81.3,14.9,13.1,0.576,Clear,8,6,145.2
12951,Rajdhani,Ratlam,Kota,147.4,57.4,2.7,3.8,0.029,Clear,7,1,186.4
12723,Express,Hyderabad,Kazipet,114.4,57.2,38.0,3.3,0.054,Clear,0,3,146.7
12860,Express,Pune,Solapur,143.3,49.8,8.5,2.9,0.115,Clear,3,0,186.9
12951,Rajdhani,Kota,New Delhi,229.9,73.4,-5.0,22.1,0.053,Clear,11,6,208.1
12860,Express,Kalaburagi,Wadi,75.1,59.8,11.9,6.4,0.261,Rain,8,6,106.8
12627,Express,Chennai,Gudur,163.8,59.7,29.9,21.9,0.654,Clear,23,0,175.0
12951,Rajdhani,Ratlam,Kota,239.3,73.7,17.4,17.4,0.577,Clear,7,0,195.5
12723,Express,Vijayawada,Gudur,253.8,77.2,24.5,9.3,0.037,Heavy Rain,6,4,221.0
12860,Express,Mumbai,Pune,203.5,73.2,0.5,0.0,0.139,Clear,23,4,202.8
12301,Rajdhani,DDU,Gaya,157.0,68.0,1.9,7.6,0.247,Clear,7,6,149.8
12301,Rajdhani,Kanpur,Prayagraj,158.4,68.0,10.6,26.5,0.083,Clear,3,2,165.2
12723,Express,Hyderabad,Kazipet,137.9,69.0,28.7,0.0,0.472,Clear,23,6,147.3
12627,Express,Chennai,Gudur,122.8,59.4,17.7,0.0,0.163,Clear,23,6,159.4
12259,Duronto,Sealdah,Asansol,164.9,73.0,9.6,4.6,0.289,Clear,23,3,156.7
12723,Express,Kazipet,Warangal,40.0,55.0,-5.0,11.5,0.472,Rain,2,1,54.8
12723,Express,Kazipet,Warangal,40.0,51.8,6.4,3.6,0.101,Clear,2,2,57.9
